ID	STATEMENT	POSITION	SPATIAL_RELATIONS	SHAPE	CONSTITUENTS	CONNECTIONS	NOTES
4909	Ventral margin of descending maxillary blade: anteroventral margin of descending blade not ossified; distal half of blade extending as a narrow process with a sharp point at its distal tip		1	1			
9715	Second pharyngobranchial: extends mesially to about the same level as the first pharyngobranchial and the first and second epibranchials in siluriforms		1			1	
8049	"Form of dorsal tip of maxilla: dorsal portion of maxilla in form of flat, medially-directed plate"		1	1			
3384	"Extra-caudal ossicle (sensu Fujita, 1990; an extra bone between HPU2 and HPU3) in haemal spine of PU2: absent in all specimens"				1	1	
27269	Hypural 2: very thin and stick-like			1			
22507	Dentary length and angle: short and anteriorly deflected			1			
663	Temporal canal pores: 2				1		
20454	"Primeiro elemento da nadadeira dorsal (trava) (rnodificado de FERRARIS, 1988b: 515): presente"		1				
21132	Proximal articulating head of hyomandibula: proximal portion of hyomandibula broad; articulating surface facing anterodorsally	1	1	1	1		proximal local or global?
23586	Interclavicle: small and scute-like			1			
3003	"Pelvis, Epipubic bones, present: absent"						
37	First infraorbital: anterior portion with medial and anterior processes		1		1		
11832	Upper pharyngeal tooth plates 4 and 5: in direct contact				1	1	
1765	"Hemoglobin, anodal: 3 strong and 3 weak bands"				1		"weak, strong?"
21947	"Calcaneum, calcaneal tuber, distal end:: rounded and unexpanded"		1	1			
8749	Formato do osso corono-meckeliano: el‰ö_‰äÊptico			1			?
18644	Mesioprepalatine: present						
9124	"Epibranchials 2 and 3 distinctly smaller than epibranchials 1 and 4 (Rosen & Parenti 1981); (Synapomorphy for Cyprinodontoidei, Wiley & Johnson, 2010): Epibranchials 2 and 3 distinctly smaller than epibranchials 1 and 4"						size is not shape?
18502	A patch of about twenty conical teeth on endopterygoids and basibranchial 2: present				1		
5502	"Metatarsal III, proximal end:: backs metatarsals II and IV posteroventrally, resulting in a T-shaped proximal profile"		1	1		1	
24680	Spacing and form of teeth in outer dentary tooth row: teeth in anterior portion outer row of dentary much larger and more widely spaced apart than other teeth on jaw		1		1		larger is not shape?
1306	Sesamoid(s) on ventrolateral surface of tarsometatarsal joint: absent		1		1		
13557	Anterior dorsal spine length: longer than posterior dorsal spine		1	1			length as shape
11901	"Maxillary articular process: hypertrophied, irregularly shaped"			1			
20674	Processo do cleitro que se liga ao mesocorac‰ö_‰ä´ide: presente		1				
7648	Distribution of cusps on distal margin of first through third teeth of inner premaxillary tooth row: cusps arranged in distinctly pronounced arch			1	1		
17152	"Humerus, Capitulum, shape: ovoid"			1			
20542	L‰ö_å¢mina vertical da v‰ö_å©rtebra complexa: presente						
11029	Humerus length: greater						error?
27992	Caudal peduncle scales below lateral line: with no central tubercles		1		1	1	
17458	"Posttemporal absent (convergent in notacanthoids, McDowell, 1973): Posttemporal absent"						
16088	"Pelvis, ilioischidic foramen:: open"						
4130	"Presence, absence, and form of suprapreopercle: absent"						
20914	"Scales, buckler-like (greatly enlarged midline scales): present midabdominally from the pelvic fin to the anus"		1	1	1		
27030	Mesethmoid: wide and short without modular rostral processes			1	1		
27321	Conditions of the arrector ventralis: well developed with an elongate origin extending along the posteroventral edge of the cleithrum for about one-third of the cleithrum‰Û_ÌãÌ«s length		1			1	
9142	Pharyngeal process of basioccipital: elongate and narrow			1	1		
22750	"Dorsal process of premaxilla: short but well-defined, separating the tips of the nasals or overlapp"		1	1	1	1	short is shape
20175	"Pedal phalanges, Digit III, ungual phalanx ventral flexor tubercle, presence: present"		1		1		
12935	"Distal tarsal 4, size of articular facet for metatarsal V:: less than half of lateral surface of distal tarsal 4"		1		1		size != shape
15933	Replacement tooth trenches: not as in 1						
23852	Dorsal and ventral borders of the maxillary articular process: slightly curved ventrally		1	1			
28370	"The tibial articular surface faces anteroventrally and the fibular posterolaterally; the boundary between consists of a perichondral strip (otherwise known only in Ichthyostega), and both surfaces fit closely to the proximal epipodial heads.: "		1		1	1	
13847	Branchiostegal rays: mean: 12 (range: 11‰Û_ÌãÌÂ13)				1		
5203	"Ischium, proximal articular surfaces:: articular surfaces with the ilium and the pubis separated by a large concave surface"		1	1		1	
4742	Form of contact of dorsal portion of maxilla with anterolateral and posterior portions of maxilla: anterolateral and posterior portions of maxilla (if present) merge without interruption into dorsomedial process of maxilla that contacts cartilage of palatine; dorsal portion of maxilla not as in state 1		1		1	1	
25100	"First basibranchial, position: the upper surface is entirely below the level of the dorsal surface of the basihyal and the second basibranchial"	1	1				position! ?
14292	"Metatarsal 1, length relative to metatarsal 2: more than 50%"						
23889	"L‰ö_‰ä´bulo superior do supra-maxilar posterior (Whitehead, 1985): sinuoso e praticamente cont‰ö_‰äÊnuo com regi‰ö_å£o anterior do supramaxilar"		1	1			
24438	Digit I with metacarpal:: subequal or shorter than the ungual						relative length falls into what?
6577	Anterior and/or posterior myodome: both absent						
21293	Anal fin skeleton composed of: segmented radials only				1		
4930	"Ventral ridge system: as in (3), but distinction between blade and crest lost"				1	1	
16305	Size of opercular openings: opercular openings largely restricted to sides of head		1		1		
26634	"Parieto-supraoccipital (forma, figura 12): uma forma quadrangular, sem esta expans‰ö_å£o l‰ö_å¡tero-posterior"		1	1			
7003	"Femur, ventral to the proximal head:: concave emargination"		1	1			
1292	"clavicle, thickness: absent"						?!
1819	N‰ö_‰öÇmero de raios associados ‰ö_‰ÛÊ placa hipural superior: 5 raios						
16212	Urodermals and 'urodermals': one ' urodermal'						?!
14464	"Sculpturing pattern of supraoccipital crests: moderately coarse ridges, pits, if present, small and shallow.  In the original matrix this character was coded in additive binary format:  0,1,0,0,0,0,0"			1	1		
4275	Fibula 4: absence of tubercle rows lying close to the posterior edge of the flexor surface of the fibula		1		1		
11865	"Femoral posterior trochanter: hypertrophied, ?shelf-like? conformation"		1	1			
27100	"Opercle shape: very narrow, dorsal and anterior edges meet at ca. 100åÂ‰ö_ angle"		1	1			
2555	"Medially directed, elongate process arising distinct distance from base of first rib: absent"		1	1	1		
27595	"Interclavicle posterior margin: with elongate, slender process that is parallel-sided for most of its length"			1	1		
15988	Radial and ulnar facets: not separated					1	
12267	Olecranon on ulna: lacking				1		
27897	Basioccipital: without lateral process				1		
1750	"Pectoral-fin rays, number: 19 or 20"				1		
8626	"Metacarpal of Digit II of breeding male: enlarged flange-like nuptial tuberosity, distally on the outer edge"		1	1			
7655	Palatine: cylindrical and normally slender; no articulation with the vomer			1		1	
17925	Humerus 13: posterodistal corner of the entepicondyle not projecting distal to the ulnar facet		1			1	
26979	"Pedal unguals:: weakly mediolaterally compressed, rounded or triangular in cross-section"		1	1			
3926	Median dorsal plate: absent						
3291	"Sternum, Mesosternum, sternebrae, presence: absent"						
